doc_id,gold_document_id,strategy,strategy_label,run,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,S1 – Full text,0,21023.0,178.0,21201.0,0.105115,0.0026699999999999996,0.107785
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,S1 – Full text,1,21023.0,147.0,21170.0,0.105115,0.002205,0.10732
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,S1 – Full text,2,21023.0,194.0,21217.0,0.105115,0.00291,0.108025
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,S2 – Section filtering,0,21022.0,275.0,21297.0,0.10511,0.004125,0.109235
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,S2 – Section filtering,1,21022.0,188.0,21210.0,0.10511,0.00282,0.10793
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,S2 – Section filtering,2,21022.0,174.0,21196.0,0.10511,0.00261,0.10772
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,S3 – Field extraction,0,847.0,126.0,973.0,0.004235,0.00189,0.006125
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,S3 – Field extraction,1,847.0,126.0,973.0,0.004235,0.00189,0.006125
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,S3 – Field extraction,2,847.0,127.0,974.0,0.004235,0.001905,0.00614
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,0,1121.0,126.0,1247.0,0.005605,0.00189,0.007495
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,1,1121.0,128.0,1249.0,0.005605,0.00192,0.007525
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,2,1121.0,126.0,1247.0,0.005605,0.00189,0.007495
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,0,5176.0,227.0,5403.0,0.02588,0.003405,0.029285
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,1,5176.0,227.0,5403.0,0.02588,0.003405,0.029285
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,2,5176.0,227.0,5403.0,0.02588,0.003405,0.029285
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S1_full,S1 – Full text,0,18281.0,230.0,18511.0,0.091405,0.00345,0.094855
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S1_full,S1 – Full text,1,18281.0,207.0,18488.0,0.091405,0.0031049999999999997,0.09451
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S1_full,S1 – Full text,2,18281.0,256.0,18537.0,0.091405,0.00384,0.095245
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S2_sections,S2 – Section filtering,0,16805.0,204.0,17009.0,0.084025,0.00306,0.087085
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S2_sections,S2 – Section filtering,1,16805.0,224.0,17029.0,0.084025,0.00336,0.087385
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S2_sections,S2 – Section filtering,2,16805.0,204.0,17009.0,0.084025,0.00306,0.087085
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S3_fields,S3 – Field extraction,0,1096.0,229.0,1325.0,0.0054800000000000005,0.003435,0.008915000000000001
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S3_fields,S3 – Field extraction,1,1096.0,258.0,1354.0,0.0054800000000000005,0.00387,0.00935
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S3_fields,S3 – Field extraction,2,1096.0,212.0,1308.0,0.0054800000000000005,0.0031799999999999997,0.008660000000000001
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,0,1346.0,217.0,1563.0,0.006730000000000001,0.0032549999999999996,0.009985
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,1,1346.0,211.0,1557.0,0.006730000000000001,0.003165,0.009895000000000001
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S4_hybrid,S4 – Hybrid,2,1346.0,211.0,1557.0,0.006730000000000001,0.003165,0.009895000000000001
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,0,4594.0,254.0,4848.0,0.02297,0.00381,0.02678
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,1,4594.0,206.0,4800.0,0.02297,0.00309,0.02606
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,S5_extended,S5 – Extended extraction,2,4594.0,206.0,4800.0,0.02297,0.00309,0.02606
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S1_full,S1 – Full text,0,13793.0,217.0,14010.0,0.068965,0.0032549999999999996,0.07221999999999999
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S1_full,S1 – Full text,1,13793.0,232.0,14025.0,0.068965,0.00348,0.072445
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S1_full,S1 – Full text,2,13793.0,218.0,14011.0,0.068965,0.00327,0.072235
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S2_sections,S2 – Section filtering,0,8559.0,226.0,8785.0,0.042795,0.00339,0.046185
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S2_sections,S2 – Section filtering,1,8559.0,227.0,8786.0,0.042795,0.003405,0.0462
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S2_sections,S2 – Section filtering,2,8559.0,218.0,8777.0,0.042795,0.00327,0.046065
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S3_fields,S3 – Field extraction,0,1166.0,188.0,1354.0,0.00583,0.00282,0.00865
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S3_fields,S3 – Field extraction,1,1166.0,188.0,1354.0,0.00583,0.00282,0.00865
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,S3_fields,S3 – Field extraction,2,1166.0,188.0,1354.0,0.00583,0.00282,0.00865
